Date,Open,High,Low,Close
2015-01-01,438.988831,441.812073,437.67627,439.781311
2015-01-02,439.880371,443.818054,437.998199,438.61734
2015-01-05,438.34494,441.267212,432.946106,433.812897
2015-01-06,430.915344,432.401276,412.09375,414.124512
2015-01-07,414.619812,425.36795,414.570282,423.139069
2015-01-08,426.011841,427.398682,416.130493,417.071564
2015-01-09,420.216766,426.952911,418.532715,426.110901
2015-01-12,426.209961,426.457611,416.848694,421.157837
2015-01-13,422.495178,423.460999,416.303864,417.616425
2015-01-14,417.542114,419.523346,411.69751,413.554901
2015-01-15,416.056213,431.460175,416.056213,428.067352
2015-01-16,425.962311,433.391876,422.024628,430.766754
2015-01-19,431.014404,438.84024,425.34317,435.695038
2015-01-20,436.611359,448.523438,435.298798,447.285187
2015-01-21,448.251038,451.42099,441.836823,449.117798
2015-01-22,448.325317,449.340698,435.620758,437.7258
2015-01-23,440.821442,444.684845,434.382477,439.286011
2015-01-27,442.257843,444.139984,436.116058,440.350922
2015-01-28,438.889771,450.628479,438.889771,449.167328
2015-01-29,449.291168,462.862518,449.192108,460.336456
2015-01-30,460.633667,461.252777,450.232239,453.327911
2015-02-02,453.724152,455.631073,448.597748,449.761719
2015-02-03,452.312531,466.007721,452.312531,464.39798
2015-02-04,465.14093,467.468872,458.602905,460.039276
2015-02-05,463.605469,465.53717,454.491882,457.513245
2015-02-06,457.711365,460.633667,447.260406,450.678009
2015-02-09,446.368866,454.690002,441.812073,444.139984
2015-02-10,444.783905,448.003387,426.606201,436.859009
2015-02-11,438.84024,448.127197,437.354309,446.121216
2015-02-12,449.736938,452.684021,439.459351,450.306549
2015-02-13,452.708771,456.076843,450.257019,454.442352
2015-02-16,455.036713,457.760895,445.774506,447.161346
2015-02-18,445.774506,449.736938,443.000793,446.591766
2015-02-19,449.216858,449.538818,439.607971,446.789886
2015-02-20,443.421814,443.793274,431.559235,432.450806
2015-02-23,430.890594,434.258667,419.572876,421.727448
2015-02-24,423.114288,424.377319,414.570282,416.774384
2015-02-25,420.414886,424.228729,416.576263,417.616425
2015-02-26,419.077576,421.009247,414.372162,417.046814
2015-02-27,419.795746,426.457611,418.334595,423.758209
2015-02-28,null,null,null,null
2015-03-02,430.420044,433.639526,423.758209,428.067352
2015-03-03,430.420044,448.969208,429.627563,446.170746
2015-03-04,448.746338,450.554199,435.893158,439.756561
2015-03-05,442.059723,445.155365,434.952087,438.32016
2015-03-09,438.39447,441.688232,428.017822,430.742004
2015-03-10,430.395294,433.788116,423.683899,425.54129
2015-03-11,426.432831,430.717224,422.197998,423.956329
2015-03-12,424.97168,429.627563,423.782959,427.844452
2015-03-13,430.420044,430.717224,419.523346,421.058777
2015-03-16,421.752197,422.965698,416.204803,417.096344
2015-03-17,421.281677,425.912781,416.551514,424.4021
2015-03-18,424.476379,432.029785,423.337189,430.246704
2015-03-19,433.664307,434.233887,423.040009,424.055389
2015-03-20,424.92215,426.531891,420.315826,423.040009
2015-03-23,424.228729,427.943512,415.115112,417.022034
2015-03-24,417.096344,423.139069,417.096344,419.993866
2015-03-25,420.513947,420.761597,416.551514,418.483185
2015-03-26,416.601044,420.637787,408.180847,410.756439
2015-03-27,413.034851,413.579681,396.962189,402.039063
2015-03-30,404.466064,405.010895,394.485657,401.568542
2015-03-31,405.159485,412.539551,405.159485,409.121948
2015-04-01,408.577087,415.560913,402.732483,414.099762
2015-04-06,414.074982,415.065582,406.843536,408.453278
2015-04-07,409.146698,414.124512,409.146698,412.514771
2015-04-08,412.836731,430.667694,412.539551,428.884613
2015-04-09,428.686493,445.279205,425.36795,443.347504
2015-04-10,443.273224,450.133179,440.375671,447.929077
2015-04-13,449.142578,458.033295,445.155365,456.918854
2015-04-15,456.175903,465.38858,449.340698,457.488464
2015-04-16,457.909485,464.5961,455.185303,459.816406
2015-04-17,463.134949,467.716522,456.968384,459.073456
2015-04-20,464.24939,464.323669,435.125458,438.66687
2015-04-21,440.895752,443.545624,432.128845,434.110077
2015-04-22,436.809479,439.2117,429.429443,435.744568
2015-04-23,437.77533,440.524261,430.444824,434.407257
2015-04-24,434.382477,438.07251,430.246704,435.323578
2015-04-27,435.893158,439.583191,431.633545,433.540466
2015-04-28,433.243286,436.859009,425.24411,428.537903
2015-04-29,426.952911,431.187775,419.721466,421.009247
2015-04-30,421.009247,428.884613,419.993866,427.126282
2015-05-04,429.033203,442.753143,426.209961,441.291992
2015-05-05,442.654083,446.666046,438.39447,441.886353
2015-05-06,440.821442,444.164764,431.905975,435.992218
2015-05-07,433.391876,435.100677,425.962311,431.286835
2015-05-08,431.410645,442.678833,426.507141,440.672852
2015-05-11,442.233063,445.502075,437.552429,443.768524
2015-05-12,443.248444,443.248444,428.513123,430.271454
2015-05-13,432.574615,440.152802,424.575439,438.39447
2015-05-14,438.84024,438.939301,431.063934,434.976868
2015-05-15,436.809479,439.31076,430.964874,432.871796
2015-05-18,433.342346,442.802673,432.005035,441.589172
2015-05-19,441.440582,448.127197,439.137421,443.570404
2015-05-20,445.972626,451.22287,444.635315,450.157959
2015-05-21,451.34668,453.402191,442.852203,444.164764
2015-05-22,444.288574,448.548218,444.288574,447.681427
2015-05-25,445.774506,449.736938,441.985413,443.050323
2015-05-26,443.297974,443.793274,437.205719,438.14682
2015-05-27,438.84024,441.267212,435.967468,438.49353
2015-05-28,438.76593,442.926514,431.905975,433.788116
2015-05-29,435.818878,439.06311,432.450806,434.382477
2015-06-01,435.868408,448.201508,434.877808,446.888947
2015-06-02,448.622498,455.086243,441.539642,445.105835
2015-06-03,445.279205,450.950439,440.078491,443.966644
2015-06-04,447.854797,453.798431,442.084473,452.06488
2015-06-05,450.678009,454.169922,447.978607,449.613129
2015-06-08,449.142578,450.727539,437.403839,438.56781
2015-06-09,437.62674,441.143402,434.555847,437.701019
2015-06-10,438.84024,450.678009,438.34494,448.647278
2015-06-11,448.746338,450.479889,432.723206,434.456787
2015-06-12,435.373108,442.158783,435.001617,440.747162
2015-06-15,443.248444,448.251038,440.821442,446.641296
2015-06-16,445.279205,448.251038,442.406433,447.730957
2015-06-17,448.275787,466.750671,442.802673,461.228027
2015-06-18,461.896667,486.389526,461.871918,484.878845
2015-06-19,486.637177,498.474945,486.637177,493.645721
2015-06-22,493.794312,499.614166,488.618378,491.19397
2015-06-23,491.66452,496.642334,490.84726,492.828491
2015-06-24,492.828491,498.499725,488.692688,490.797729
2015-06-25,488.866028,499.762756,487.875427,497.558655
2015-06-26,495.255463,502.288818,493.026611,495.651703
2015-06-29,489.311798,492.258881,481.436462,490.772949
2015-06-30,490.302429,496.716614,489.361328,495.354523
2015-07-01,495.800293,500.480927,495.800293,498.103485
2015-07-02,499.762756,505.08728,498.821655,500.679077
2015-07-03,500.134216,502.140198,496.815674,498.871185
2015-07-06,493.373322,504.66626,492.927551,503.006989
2015-07-07,500.753357,503.527069,495.304993,496.914734
2015-07-08,493.249481,499.614166,491.16922,493.620972
2015-07-09,493.323792,495.800293,486.959106,489.064148
2015-07-10,490.89679,497.286224,490.475769,496.196564
2015-07-13,496.196564,501.496307,492.902771,498.772125
2015-07-14,499.713226,501.001007,492.927551,494.215332
2015-07-15,495.181183,502.437408,495.082123,500.827667
2015-07-16,501.248657,509.074493,500.827667,507.043732
2015-07-17,507.811462,510.733765,504.22049,506.053131
2015-07-20,509.074493,510.139374,504.170959,507.563812
2015-07-21,509.173553,509.396423,496.667084,499.168396
2015-07-22,497.781525,522.026733,497.583405,520.268372
2015-07-23,521.803833,528.911438,515.711548,517.74231
2015-07-24,519.079651,519.896912,505.755951,507.712402
2015-07-27,507.638092,510.114624,496.171783,497.954895
2015-07-28,499.416046,503.576599,495.354523,500.381866
2015-07-29,500.010406,501.595367,491.39209,493.323792
2015-07-30,495.354523,499.267456,491.49115,495.379303
2015-07-31,495.304993,499.217926,490.351959,496.221313
2015-08-03,495.800293,502.164978,495.007813,496.518494
2015-08-04,496.989044,498.103485,485.398895,489.361328
2015-08-05,489.485168,495.701233,487.429657,489.237518
2015-08-06,490.84726,491.34256,484.160645,484.878845
2015-08-07,484.903595,492.33316,483.987274,487.553467
2015-08-10,487.627777,489.757599,477.72168,479.901031
2015-08-11,480.941162,482.253723,474.502197,478.46463
2015-08-12,477.275909,478.46463,465.859131,467.023102
2015-08-13,469.053833,472.496216,460.336456,462.292938
2015-08-14,465.710541,481.436462,462.763458,478.935181
2015-08-17,478.46463,478.46463,468.583313,470.886475
2015-08-18,473.511597,473.511597,466.676361,467.617462
2015-08-19,467.567932,475.988098,465.31427,472.818146
2015-08-20,475.468048,475.468048,452.584961,453.847961
2015-08-21,450.727539,451.66864,444.288574,449.712189
2015-08-24,435.868408,435.868408,405.159485,410.88028
2015-08-25,416.477203,426.284241,407.735077,420.092926
2015-08-26,419.919586,433.292816,416.056213,422.693298
2015-08-27,429.330383,436.487549,424.50116,430.494354
2015-08-28,433.391876,437.354309,428.983673,432.104095
2015-08-31,432.326965,432.326965,422.891418,423.931549
2015-09-01,422.940948,422.940948,413.629211,415.981903
2015-09-02,421.009247,424.525909,417.343994,420.786377
2015-09-03,423.015228,426.333771,418.235535,422.916168
2015-09-04,420.860657,420.860657,408.676147,414.025452
2015-09-07,415.189423,418.037415,409.963959,412.688141
2015-09-08,414.074982,422.470398,408.676147,420.315826
2015-09-09,426.457611,435.224518,421.256897,432.921326
2015-09-10,426.457611,431.162994,423.733429,429.429443
2015-09-11,431.905975,433.936707,424.080139,426.432831
2015-09-14,426.829102,428.785553,421.950317,427.869232
2015-09-15,426.952911,430.915344,423.782959,429.429443
2015-09-16,431.955505,434.555847,428.537903,432.178375
2015-09-18,435.100677,445.526855,434.456787,443.496094
2015-09-21,435.868408,439.929901,433.911957,434.927338
2015-09-22,435.868408,438.29541,418.285065,419.969116
2015-09-23,417.542114,424.377319,416.056213,421.182617
2015-09-24,420.018646,420.018646,413.455841,414.743652
2015-09-28,415.957153,416.501984,410.459259,413.208191
2015-09-29,411.103149,421.133087,409.171448,416.427673
2015-09-30,421.504547,428.339752,415.313232,427.101501
2015-10-01,432.871796,432.871796,425.26889,428.290222
2015-10-05,427.349152,440.821442,426.878632,439.830841
2015-10-06,443.619934,446.022156,438.7164,444.808655
2015-10-07,443.149384,454.714752,441.316772,452.609711
2015-10-08,453.154541,453.154541,438.96405,440.375671
2015-10-09,442.827423,448.473907,436.611359,439.508881
2015-10-12,439.830841,446.566986,439.830841,441.688232
2015-10-13,438.36969,443.941864,437.304779,442.604553
2015-10-14,443.694214,448.251038,442.777893,447.235657
2015-10-15,449.588348,451.22287,445.824036,447.607117
2015-10-16,448.003387,453.105011,447.607117,453.105011
2015-10-19,466.082001,478.21698,466.082001,477.226379
2015-10-20,477.96933,478.81134,472.025665,473.858307
2015-10-21,473.263916,482.823303,472.025665,473.016266
2015-10-23,477.449249,481.956543,466.156311,473.338226
2015-10-26,476.433868,476.978729,466.230591,466.998322
2015-10-27,464.99234,469.672974,464.29892,465.363831
2015-10-28,464.05127,468.013702,460.584137,464.076019
2015-10-29,463.605469,468.063232,463.085419,466.082001
2015-10-30,466.626831,473.462067,465.63623,469.400543
2015-11-02,470.044434,476.235748,468.162292,475.393738
2015-11-03,477.102539,480.668732,476.111938,479.05899
2015-11-04,479.455231,482.922363,468.657593,471.183655
2015-11-05,470.044434,471.035065,462.119568,463.902679
2015-11-06,465.31427,472.892456,464.54657,471.728485
2015-11-09,462.367218,477.96933,457.389404,476.111938
2015-11-10,474.006897,475.245148,453.847961,457.042694
2015-11-13,453.228851,464.8685,452.956421,462.144348
2015-11-16,458.652435,466.577301,458.033295,462.763458
2015-11-17,464.62085,465.04187,458.751495,459.519226
2015-11-18,459.444916,461.277557,450.702789,451.71817
2015-11-19,455.135773,464.94281,454.318512,462.986359
2015-11-20,462.614868,471.926605,458.429535,468.979553
2015-11-23,470.539764,474.452667,468.657593,472.397156
2015-11-24,472.025665,481.238342,471.059814,479.306641
2015-11-26,480.941162,491.31781,479.579071,489.683289
2015-11-27,489.856659,491.59021,482.476593,484.928375
2015-11-30,484.655945,487.578247,476.632019,479.00946
2015-12-01,477.47403,484.804535,476.111938,478.4151
2015-12-02,478.58847,485.250305,477.72168,484.383514
2015-12-03,482.872833,489.831879,482.476593,484.012054
2015-12-04,481.585052,483.516754,476.186218,478.19223
2015-12-07,478.19223,481.931763,470.415924,471.555115
2015-12-08,469.994904,472.322845,463.654999,466.032471
2015-12-09,463.704529,467.295502,452.13916,453.649841
2015-12-10,456.918854,472.421906,455.680603,470.713104
2015-12-11,471.406525,474.997498,467.023102,472.000916
2015-12-14,469.351013,477.226379,468.558533,473.065796
2015-12-15,474.006897,484.383514,472.347626,483.368164
2015-12-16,483.368164,489.138458,482.179413,484.730255
2015-12-17,485.423676,502.734589,484.408295,500.109467
2015-12-18,497.187164,499.762756,490.351959,491.29303
2015-12-21,489.311798,494.809692,487.553467,491.39209
2015-12-22,491.7388,496.592804,487.380127,489.014618
2015-12-23,491.2435,498.722595,490.351959,497.187164
2015-12-24,497.236694,498.871185,493.472382,495.577423
2015-12-28,495.602173,502.115448,495.304993,500.456177
2015-12-29,500.456177,504.5672,498.846436,502.932709
2015-12-30,502.734589,503.229889,496.295624,497.533875
2015-12-31,496.989044,505.0625,494.859222,502.536469
2016-01-01,500.158997,504.66626,499.366516,502.907928
2016-01-04,497.781525,502.140198,488.717438,492.977081
